uri:/instrument/1.0/^gdaxi/chartdata;type=quote;range=1d/csv
ticker:^gdaxi
Company-Name:DAX
Exchange-Name:GER
unit:MIN
timezone:CEST
currency:EUR
gmtoffset:7200
previous_close:11100.2998
Timestamp:1434697200,1434729600
labels:1434697200,1434700800,1434704400,1434708000,1434711600,1434715200,1434718800,1434722400,1434726000,1434729600
values:Timestamp,close,high,low,open,volume
close:11008.1299,11244.8896
high:11023.7695,11246.2695
low:10997.9004,11239.9600
open:11007.9902,11244.9199
volume:0,0
1434699479,11187.5996,11190.4697,11185.6602,11188.1699,0
1434699539,11191.4199,11195.7002,11186.6602,11187.5996,0
1434699599,11194.7002,11194.7002,11189.4404,11191.4102,0
1434699659,11187.4199,11194.7002,11185.3799,11194.7002,0
1434699719,11198.9805,11201.9199,11184.4199,11187.2998,0
1434699779,11195.2402,11199.0000,11193.1699,11199.0000,0
1434699839,11190.6797,11195.6396,11190.6797,11195.2500,0
1434699899,11192.5000,11193.7197,11189.5996,11189.8701,0
1434699959,11195.2695,11195.2695,11191.5703,11192.1699,0
1434700019,11187.0303,11200.1104,11187.0303,11195.2002,0
1434700079,11181.0596,11184.3096,11179.5098,11184.3096,0
1434700139,11181.6104,11183.2197,11180.6396,11180.6396,0
1434700199,11186.7500,11186.8496,11181.5898,11181.6904,0
1434700259,11182.2305,11187.2803,11182.2305,11187.2803,0
1434700319,11186.2900,11187.1602,11181.2998,11181.6299,0
1434700379,11186.6104,11187.3301,11185.6602,11186.2900,0
1434700439,11186.7998,11188.6699,11186.5703,11186.5996,0
1434700499,11182.2402,11186.7998,11181.3701,11186.7998,0
1434700559,11181.2900,11184.7900,11181.2695,11182.2500,0
1434700619,11175.1104,11182.0898,11172.3496,11181.8604,0
1434700679,11173.2197,11176.6104,11172.9600,11175.2402,0
1434700739,11174.6699,11174.6699,11169.2695,11173.2197,0
1434700799,11177.4199,11178.4697,11174.7002,11174.7002,0
1434700859,11177.1104,11177.2998,11174.4297,11177.2998,0
1434700919,11172.5596,11178.4697,11172.5596,11177.1104,0
1434700979,11181.4805,11181.4805,11172.1299,11172.5000,0
1434701039,11167.6797,11185.7100,11167.6797,11182.1904,0
1434701099,11164.7998,11167.5303,11159.1602,11167.5303,0
1434701159,11164.7998,11166.4102,11159.2100,11164.9004,0
1434701219,11162.7305,11166.6504,11162.2305,11164.9004,0
1434701279,11162.1104,11163.9404,11161.0996,11163.0801,0
1434701339,11167.3896,11168.7100,11162.0098,11162.1104,0
1434701399,11166.5498,11168.7598,11166.2900,11167.5801,0
1434701459,11173.5801,11173.5801,11166.2305,11166.6299,0
1434701519,11185.5996,11185.5996,11173.5098,11173.5801,0
1434701579,11188.0400,11189.6904,11179.0703,11185.6904,0
1434701639,11182.0000,11191.9004,11182.0000,11188.9805,0
1434701699,11186.9502,11187.4404,11180.7598,11182.0000,0
1434701759,11187.6396,11189.0703,11183.4404,11186.9502,0
1434701819,11184.9902,11187.8799,11184.3701,11187.3896,0
1434701879,11184.5898,11186.6396,11182.7402,11185.2402,0
1434701939,11182.9805,11185.9102,11181.4102,11184.2305,0
1434701999,11175.4600,11183.6104,11173.9004,11183.2305,0
1434702059,11177.5098,11179.0801,11175.0098,11175.5801,0
1434702119,11180.8398,11181.5303,11177.0596,11177.5400,0
1434702179,11183.5400,11185.2002,11180.5596,11180.9404,0
1434702239,11181.9004,11185.6104,11180.2402,11182.8203,0
1434702299,11188.1504,11188.3799,11181.9004,11181.9004,0
1434702359,11188.4004,11193.4199,11188.1904,11188.4404,0
1434702419,11179.4297,11188.4004,11179.2500,11188.4004,0
1434702479,11176.4102,11180.4697,11175.5898,11179.4297,0
1434702539,11173.0996,11177.2500,11167.5898,11176.5098,0
1434702599,11179.2695,11179.9697,11173.0996,11173.0996,0
1434702659,11176.9697,11179.4697,11175.9902,11179.2695,0
1434702719,11176.2900,11178.0996,11172.2500,11176.9697,0
1434702779,11179.5596,11179.9600,11175.2305,11176.2002,0
1434702839,11179.0898,11181.3701,11176.7402,11179.5195,0
1434702899,11184.0596,11184.0596,11178.5195,11178.9805,0
1434702959,11195.5498,11196.5596,11184.0596,11184.0596,0
1434703019,11193.8496,11196.0400,11191.3799,11195.5498,0
1434703079,11190.4600,11194.2002,11190.0596,11194.2002,0
1434703139,11192.7002,11196.1602,11189.9199,11190.4600,0
1434703199,11195.9697,11196.4697,11192.1699,11192.7002,0
1434703259,11191.6602,11195.5596,11191.3203,11195.5596,0
1434703319,11187.7305,11193.0703,11186.5098,11191.6602,0
1434703379,11178.1602,11188.1396,11176.0498,11187.7998,0
1434703439,11181.1904,11181.5000,11178.8496,11178.8496,0
1434703499,11181.1299,11181.9805,11178.8604,11181.1904,0
1434703559,11183.1504,11183.7100,11180.0596,11181.1299,0
1434703619,11186.7305,11186.7305,11182.3096,11183.2197,0
1434703679,11181.3096,11186.7695,11181.3096,11186.7695,0
1434703739,11181.5098,11181.7002,11180.1699,11181.3096,0
1434703799,11189.2402,11189.2402,11181.2500,11181.5000,0
1434703859,11181.4805,11189.4805,11181.2402,11189.4102,0
1434703919,11170.9600,11181.8604,11170.9600,11181.4805,0
1434703979,11172.5801,11173.8398,11170.6602,11170.9600,0
1434704039,11175.9502,11175.9502,11171.4102,11172.5801,0
1434704099,11178.9199,11179.6699,11175.7500,11175.9502,0
1434704159,11174.6504,11179.1699,11174.0498,11179.1699,0
1434704219,11172.3398,11176.3203,11172.2803,11176.3203,0
1434704279,11176.2900,11176.2900,11172.2100,11172.3398,0
1434704339,11174.2900,11176.8096,11173.7402,11176.7695,0
1434704399,11174.3301,11174.3301,11171.8604,11174.2900,0
1434704459,11178.2002,11179.7803,11174.0195,11174.0400,0
1434704519,11177.3398,11179.3203,11175.7100,11178.7002,0
1434704579,11174.8096,11177.4297,11174.1602,11177.3398,0
1434704639,11177.5195,11177.8096,11174.8096,11174.8096,0
1434704699,11178.3799,11178.8301,11177.4199,11177.4199,0
1434704759,11184.8203,11185.6201,11178.3799,11178.3799,0
1434704819,11182.9404,11185.6504,11181.7695,11184.8203,0
1434704879,11180.5098,11183.4297,11180.2803,11182.7695,0
1434704939,11185.3203,11185.5195,11177.9502,11180.5098,0
1434704999,11185.4600,11185.6104,11181.7500,11184.9902,0
1434705059,11193.2998,11193.2998,11185.5596,11185.7998,0
1434705119,11196.3896,11198.5400,11192.8604,11193.3701,0
1434705179,11191.1104,11196.4902,11187.3398,11196.4902,0
1434705239,11186.6104,11191.2305,11186.2998,11191.2305,0
1434705299,11204.5596,11204.8096,11188.2695,11188.2695,0
1434705359,11201.0303,11204.5400,11200.1904,11204.5400,0
1434705419,11204.0596,11211.1699,11204.0400,11206.7500,0
1434705479,11203.9297,11203.9297,11201.3096,11202.5498,0
1434705539,11209.8398,11209.9004,11203.9297,11203.9297,0
1434705599,11222.4805,11226.3604,11209.8896,11209.8896,0
1434705659,11226.2197,11230.7598,11222.3799,11222.9502,0
1434705719,11223.7002,11230.0596,11221.4697,11226.2197,0
1434705779,11220.8896,11227.3799,11220.5996,11222.2998,0
1434705839,11225.6602,11226.3496,11218.9805,11220.4297,0
1434705899,11229.3096,11229.3096,11224.6504,11225.6602,0
1434705959,11225.1504,11229.5596,11221.4297,11229.3096,0
1434706019,11215.5596,11225.0703,11215.5596,11225.0703,0
1434706079,11214.6504,11216.1104,11214.0498,11215.5596,0
1434706139,11221.6104,11221.9102,11214.0498,11214.6396,0
1434706199,11218.1797,11220.6602,11218.0596,11220.3701,0
1434706259,11224.6504,11226.0303,11218.1797,11218.1797,0
1434706319,11227.9902,11228.5498,11224.1201,11224.7900,0
1434706379,11223.6904,11232.2402,11223.4199,11228.0498,0
1434706439,11227.5400,11228.5498,11223.6904,11223.6904,0
1434706499,11221.2803,11227.8496,11220.8896,11227.5400,0
1434706559,11220.8799,11223.6797,11220.8799,11221.2803,0
1434706619,11222.6904,11222.6904,11220.8799,11220.8799,0
1434706679,11218.8496,11223.2197,11218.8496,11223.0801,0
1434706739,11219.5195,11219.7998,11216.8398,11218.8496,0
1434706799,11220.8398,11220.8398,11219.4102,11219.8203,0
1434706859,11220.4902,11221.3096,11219.8799,11220.5996,0
1434706919,11211.9805,11220.3701,11211.9805,11220.3701,0
1434706979,11211.2900,11213.6504,11210.6699,11211.7998,0
1434707039,11215.0498,11216.0098,11211.0098,11211.9004,0
1434707099,11217.3096,11217.3896,11214.4600,11215.0703,0
1434707159,11224.5801,11226.0098,11217.4102,11217.6797,0
1434707219,11220.5498,11224.5801,11220.5498,11224.5801,0
1434707279,11225.3096,11226.0596,11220.5498,11220.5498,0
1434707339,11223.1299,11225.0400,11221.8301,11225.0000,0
1434707399,11224.1904,11224.1904,11222.1104,11223.1299,0
1434707459,11230.0303,11230.2900,11222.3301,11223.3799,0
1434707519,11210.1797,11234.7402,11210.1201,11231.0898,0
1434707579,11221.0596,11221.0596,11210.4902,11212.0098,0
1434707639,11226.3604,11227.1602,11221.1904,11223.4502,0
1434707699,11216.3398,11226.9902,11216.3398,11226.6104,0
1434707759,11209.9697,11219.1504,11209.9697,11216.9004,0
1434707819,11211.5801,11219.4297,11208.5801,11208.9805,0
1434707879,11202.8096,11214.0400,11202.8096,11212.5596,0
1434707939,11196.4004,11206.9902,11196.4004,11203.4502,0
1434707999,11199.2197,11200.1904,11182.7695,11192.3799,0
1434708059,11201.6104,11201.7197,11197.5996,11199.7002,0
1434708119,11208.5596,11208.8496,11201.6104,11201.6104,0
1434708179,11209.2197,11209.7402,11208.5596,11208.5596,0
1434708239,11213.3096,11213.8203,11209.2803,11209.2803,0
1434708299,11214.6104,11214.9199,11212.9199,11212.9199,0
1434708359,11218.6299,11219.8301,11214.8604,11214.8604,0
1434708419,11221.2500,11221.3096,11218.2305,11218.6299,0
1434708479,11226.4697,11226.4697,11220.1797,11221.2500,0
1434708539,11232.3604,11233.8096,11226.4404,11226.6602,0
1434708599,11222.9502,11231.9102,11222.8799,11231.9102,0
1434708659,11218.4502,11222.9502,11217.9102,11222.9502,0
1434708719,11217.9297,11219.7305,11216.0400,11218.4502,0
1434708779,11218.7500,11218.9502,11215.4102,11218.0303,0
1434708839,11218.3398,11218.9902,11217.8701,11218.7500,0
1434708899,11213.8799,11218.2803,11213.7900,11218.1797,0
1434708959,11209.2695,11215.5098,11209.2695,11213.8799,0
1434709019,11212.5801,11212.5801,11208.9102,11209.3301,0
1434709079,11216.7002,11217.3301,11212.0195,11212.5801,0
1434709139,11216.9902,11217.2305,11215.5000,11216.7002,0
1434709199,11213.0801,11218.6602,11213.0801,11216.9902,0
1434709259,11210.9600,11213.2100,11210.9600,11213.2100,0
1434709319,11208.7598,11210.9404,11203.0898,11210.9404,0
1434709379,11213.5400,11213.5400,11209.0195,11209.0195,0
1434709439,11217.7500,11217.7500,11212.6299,11213.5400,0
1434709499,11219.2695,11219.3799,11217.8398,11217.8398,0
1434709559,11224.5498,11225.4404,11219.2695,11219.2695,0
1434709619,11223.2803,11226.3896,11223.2803,11225.7803,0
1434709679,11226.6504,11226.6504,11222.4697,11223.2803,0
1434709739,11225.2695,11227.2500,11225.2402,11226.7695,0
1434709799,11227.1201,11229.5996,11225.3799,11225.4004,0
1434709859,11226.9805,11227.9199,11225.5996,11227.1201,0
1434709919,11225.6201,11227.0400,11225.6201,11226.9805,0
1434709979,11223.2900,11225.8701,11223.2900,11225.5098,0
1434710039,11223.6602,11223.6602,11217.8701,11223.2900,0
1434710099,11218.6104,11223.6904,11218.6104,11223.6602,0
1434710159,11223.7695,11223.7695,11218.4697,11218.6104,0
1434710219,11224.0801,11224.2695,11222.4199,11223.7695,0
1434710279,11223.6299,11224.4805,11222.4004,11224.0801,0
1434710339,11224.4004,11226.1602,11223.0400,11223.6299,0
1434710399,11217.0303,11224.3896,11217.0303,11224.3701,0
1434710459,11218.7305,11221.0303,11217.0303,11217.0303,0
1434710519,11220.6504,11221.2305,11218.6299,11218.7305,0
1434710579,11219.0400,11221.0596,11218.6504,11220.6504,0
1434710639,11226.7598,11226.8799,11218.5303,11219.0400,0
1434710699,11223.8799,11227.0303,11223.4600,11226.7598,0
1434710759,11221.9600,11224.9297,11221.4199,11223.6299,0
1434710819,11223.2100,11223.3496,11218.9102,11222.4600,0
1434710879,11222.2197,11223.3398,11220.1396,11223.2100,0
1434710939,11232.8301,11232.8301,11222.2197,11222.2197,0
1434710999,11235.5098,11238.8203,11231.8896,11232.8301,0
1434711059,11233.2803,11237.0400,11233.2803,11235.5098,0
1434711119,11224.0596,11233.2803,11223.6797,11233.2803,0
1434711179,11235.0098,11235.2998,11223.9404,11224.0596,0
1434711239,11241.4600,11243.9404,11234.8203,11234.8203,0
1434711299,11244.8896,11244.8896,11239.8896,11241.4600,0
1434711359,11239.9600,11246.2695,11239.9600,11244.9199,0
1434711419,11235.5996,11240.9805,11235.2695,11239.9600,0
1434711479,11236.2100,11237.6797,11233.9004,11235.4697,0
1434711539,11225.0303,11236.0596,11224.6797,11235.8496,0
1434711599,11231.2002,11231.2002,11222.4697,11225.0303,0
1434711659,11234.5801,11234.5801,11233.9102,11233.9102,0
1434711719,11234.5801,11234.5801,11234.5801,11234.5801,0
1434711779,11234.5801,11234.5801,11234.5801,11234.5801,0
1434711839,11234.5801,11234.5801,11234.5801,11234.5801,0
1434711899,11234.5801,11234.5801,11234.5801,11234.5801,0
1434711959,11189.3398,11234.5801,11189.2100,11234.5801,0
1434712019,11183.9004,11189.3604,11179.5596,11189.3604,0
1434712079,11187.5996,11187.6904,11183.0996,11184.0195,0
1434712139,11180.8496,11188.9902,11170.3398,11188.0098,0
1434712199,11175.3398,11181.0195,11175.3301,11180.8496,0
1434712259,11176.1602,11177.9102,11174.2500,11175.3398,0
1434712319,11169.9199,11176.2598,11168.9902,11176.1602,0
1434712379,11177.4600,11177.5898,11170.6201,11170.6201,0
1434712439,11175.8301,11182.4404,11175.7002,11177.6602,0
1434712499,11172.2695,11179.5596,11171.5498,11175.8301,0
1434712559,11173.1797,11173.5996,11170.9004,11172.2695,0
1434712619,11177.1504,11177.4600,11171.9102,11173.9600,0
1434712679,11180.4102,11180.4102,11176.8496,11177.3604,0
1434712739,11178.9600,11181.4297,11178.6299,11180.4697,0
1434712799,11186.8398,11189.6396,11178.5703,11178.9600,0
1434712859,11180.0195,11186.1602,11175.8896,11186.0898,0
1434712919,11173.3896,11179.2598,11172.9102,11179.2598,0
1434712979,11173.8203,11174.4199,11173.2900,11173.6396,0
1434713039,11163.4404,11177.5400,11163.4404,11173.8203,0
1434713099,11167.2598,11167.9297,11163.4697,11163.4697,0
1434713159,11168.6797,11169.1904,11166.7100,11167.2197,0
1434713219,11170.1104,11172.3799,11168.5996,11168.5996,0
1434713279,11163.5098,11169.9297,11163.5098,11169.9297,0
1434713339,11165.9004,11166.2402,11164.2998,11164.2998,0
1434713399,11145.2803,11165.7803,11138.8604,11165.7803,0
1434713459,11144.0098,11144.0098,11133.1904,11143.2402,0
1434713519,11148.2402,11150.5303,11143.6602,11144.1504,0
1434713579,11141.1299,11149.5498,11140.8701,11148.5098,0
1434713639,11148.2002,11148.2803,11141.0996,11141.3398,0
1434713699,11151.0195,11151.0898,11147.3896,11148.1201,0
1434713759,11145.8799,11151.6602,11145.8799,11151.0195,0
1434713819,11143.7500,11145.7197,11141.2900,11145.7197,0
1434713879,11137.1104,11143.9805,11137.1104,11143.7500,0
1434713939,11133.3096,11142.2695,11133.3096,11137.1104,0
1434713999,11135.4502,11135.8096,11130.8096,11133.3096,0
1434714059,11117.2500,11135.6104,11116.4902,11135.5703,0
1434714119,11105.5996,11117.2500,11090.7803,11117.2500,0
1434714179,11105.0098,11108.0303,11101.4404,11105.5801,0
1434714239,11115.6396,11115.8398,11105.0098,11105.0098,0
1434714299,11117.9600,11117.9600,11114.9805,11115.9600,0
1434714359,11112.2197,11118.3398,11112.1904,11118.3398,0
1434714419,11108.1699,11114.8701,11108.1699,11112.2197,0
1434714479,11105.8604,11107.4102,11099.9004,11107.4102,0
1434714539,11101.7305,11106.5898,11101.6504,11105.8604,0
1434714599,11117.5498,11117.5498,11101.6201,11101.9004,0
1434714658,11120.0000,11124.2500,11117.6504,11120.2002,0
1434714719,11122.0498,11124.7305,11120.0000,11120.0000,0
1434714779,11120.2998,11122.0498,11117.9805,11122.0498,0
1434714839,11111.3203,11119.5098,11111.2598,11119.5098,0
1434714899,11121.5195,11121.5195,11109.3604,11111.3203,0
1434714959,11119.1201,11126.2803,11115.3496,11121.5498,0
1434715019,11119.3496,11122.2500,11112.7197,11119.2002,0
1434715079,11118.9697,11120.7803,11115.5898,11119.3496,0
1434715139,11122.7305,11128.9805,11118.9697,11118.9697,0
1434715199,11141.8799,11141.8799,11122.7305,11122.7305,0
1434715259,11125.2197,11141.2598,11123.4297,11141.2598,0
1434715319,11128.3496,11128.3496,11125.2197,11125.2197,0
1434715379,11130.8799,11130.9102,11126.5596,11128.3496,0
1434715439,11128.8496,11132.9102,11128.1504,11131.1201,0
1434715499,11124.1904,11129.7305,11124.1904,11128.8496,0
1434715559,11115.1504,11124.0801,11115.1504,11124.0801,0
1434715619,11117.9902,11120.6602,11115.0098,11115.2100,0
1434715679,11112.1904,11117.7305,11112.1904,11117.7305,0
1434715739,11108.3096,11113.4199,11104.2803,11112.1904,0
1434715799,11113.5703,11113.8301,11108.0801,11108.3096,0
1434715859,11114.0098,11116.1797,11113.0303,11113.5703,0
1434715919,11112.5498,11114.0303,11109.6797,11114.0098,0
1434715979,11124.0596,11124.1904,11113.0195,11113.0195,0
1434716039,11121.3301,11124.0596,11121.2998,11124.0596,0
1434716099,11109.9697,11118.3896,11109.6299,11118.0000,0
1434716159,11115.8799,11115.8799,11110.4297,11110.5000,0
1434716219,11114.0703,11116.0400,11114.0596,11116.0400,0
1434716279,11114.6797,11116.2900,11110.9199,11111.5498,0
1434716339,11113.3496,11114.7100,11112.9697,11114.7100,0
1434716399,11115.5400,11115.7803,11111.9805,11113.3496,0
1434716459,11124.3496,11124.4600,11115.5801,11115.5801,0
1434716519,11130.1104,11130.1104,11124.3496,11124.3496,0
1434716579,11127.0801,11130.2803,11126.2305,11130.1104,0
1434716639,11124.5596,11127.2305,11123.7598,11127.0801,0
1434716699,11128.6104,11128.6104,11122.7695,11124.5596,0
1434716759,11128.1699,11128.6699,11125.2998,11128.6104,0
1434716819,11127.3604,11128.8604,11127.3604,11128.1699,0
1434716879,11134.6299,11136.4404,11128.0098,11128.0098,0
1434716939,11134.5000,11135.6699,11132.7900,11134.5498,0
1434716999,11138.3799,11138.6904,11134.5000,11134.5000,0
1434717059,11141.5000,11145.1602,11138.3799,11138.3799,0
1434717119,11134.4805,11141.5303,11134.2305,11141.5303,0
1434717179,11140.3301,11140.3301,11133.2803,11134.5801,0
1434717239,11141.7197,11142.9404,11140.3301,11140.3301,0
1434717299,11139.6602,11142.0195,11139.5996,11141.7197,0
1434717359,11144.9502,11146.6104,11138.0195,11139.9600,0
1434717419,11145.7002,11146.6904,11144.9502,11144.9502,0
1434717479,11148.8604,11149.1201,11143.6504,11145.7002,0
1434717539,11149.0498,11149.1299,11147.5596,11148.8604,0
1434717599,11148.2002,11149.7598,11148.1104,11149.0498,0
1434717659,11141.8896,11148.2002,11141.1904,11148.2002,0
1434717719,11147.9902,11150.0801,11141.9902,11141.9902,0
1434717779,11150.1504,11153.3799,11147.8496,11148.0596,0
1434717839,11156.1299,11158.7998,11149.8496,11150.3799,0
1434717899,11150.4404,11156.1504,11150.4004,11156.1299,0
1434717959,11150.4102,11150.9004,11146.7002,11150.4404,0
1434718019,11143.2803,11150.5000,11142.7305,11150.5000,0
1434718079,11130.8203,11143.3203,11130.8203,11143.2803,0
1434718139,11127.5303,11130.6396,11123.3096,11130.6396,0
1434718199,11129.0303,11129.6201,11127.2900,11127.5303,0
1434718259,11126.5195,11129.4697,11126.3398,11128.8496,0
1434718319,11126.0996,11126.5303,11124.6904,11126.5098,0
1434718379,11132.7598,11132.7598,11126.6299,11126.6299,0
1434718439,11126.7002,11133.0195,11126.7002,11132.7402,0
1434718499,11121.8496,11126.6104,11120.7402,11126.4297,0
1434718559,11119.3799,11122.9502,11119.3799,11121.8496,0
1434718619,11117.4697,11119.3799,11114.7598,11119.3799,0
1434718679,11114.7402,11117.6904,11111.8301,11117.4697,0
1434718739,11117.4297,11117.5703,11114.4805,11114.7402,0
1434718799,11111.3096,11118.0000,11111.3096,11117.4102,0
1434718859,11106.7100,11112.0000,11106.7100,11111.3096,0
1434718919,11105.8701,11107.6504,11104.3398,11106.6797,0
1434718979,11111.9502,11111.9805,11105.7100,11105.8701,0
1434719039,11112.9199,11112.9199,11110.5303,11111.5996,0
1434719099,11113.8799,11116.4502,11112.9199,11112.9199,0
1434719159,11112.8604,11113.8799,11109.5098,11113.8799,0
1434719219,11109.3301,11113.3604,11108.6904,11112.8398,0
1434719279,11114.8096,11115.0703,11109.6602,11109.6602,0
1434719339,11114.4697,11114.9102,11112.8799,11114.7402,0
